"date_utc","date_time_utc","usdtz_price"
2021-07-13,"2021-07-13 22:20:03",0.364318273576576
2021-07-13,"2021-07-13 22:30:03",0.362829960357091
2021-07-13,"2021-07-13 22:40:03",0.362829960357091
2021-07-13,"2021-07-13 22:50:03",0.364185153431377
2021-07-13,"2021-07-13 23:00:03",0.364202109280665
2021-07-13,"2021-07-13 23:10:03",0.369208292843159
2021-07-13,"2021-07-13 23:20:02",0.362966747686973
2021-07-13,"2021-07-13 23:30:03",0.362966747686973
2021-07-13,"2021-07-13 23:40:03",0.362966747686973
2021-07-13,"2021-07-13 23:50:04",0.362966747686973
2021-07-14,"2021-07-14 00:00:05",0.362966747686973
2021-07-14,"2021-07-14 00:10:03",0.362966747686973
2021-07-14,"2021-07-14 00:20:03",0.362966747686973
2021-07-14,"2021-07-14 00:30:03",0.362966747686973
2021-07-14,"2021-07-14 00:40:03",0.362966747686973
2021-07-14,"2021-07-14 00:50:03",0.366401342414499
2021-07-14,"2021-07-14 01:00:03",0.368103981373306
2021-07-14,"2021-07-14 01:10:03",0.368103981373306
2021-07-14,"2021-07-14 01:20:03",0.368103981373306
2021-07-14,"2021-07-14 01:30:03",0.369365934643918
2021-07-14,"2021-07-14 01:40:03",0.36947895966126
2021-07-14,"2021-07-14 01:50:03",0.36947895966126
2021-07-14,"2021-07-14 02:00:04",0.369547272456133
2021-07-14,"2021-07-14 02:10:03",0.369547272456133
2021-07-14,"2021-07-14 02:20:03",0.373560398551486
2021-07-14,"2021-07-14 02:30:04",0.374097787691861
2021-07-14,"2021-07-14 02:40:03",0.374097787691861
2021-07-14,"2021-07-14 02:50:03",0.374097787691861
2021-07-14,"2021-07-14 03:00:04",0.374097787691861
2021-07-14,"2021-07-14 03:10:03",0.374097787691861
2021-07-14,"2021-07-14 03:20:03",0.374097787691861
2021-07-14,"2021-07-14 03:30:03",0.373903009461601
2021-07-14,"2021-07-14 03:40:03",0.374265506921455
2021-07-14,"2021-07-14 03:50:03",0.37515166949984
